,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
88,Senior Mechanical Design Engineer (Ireland: Data centres),"Johannesburg North (Johannesburg North), Gauteng",Permanent Intermediate position,SciTech Placements (Pty) Ltd,R Undisclosed,,30 Nov 2022,09 Dec 2022,9,5,https://www.careerjunction.co.za/senior-mechanical-design-engineer-ireland-data-centres-job-2493481.aspx
89,Senior Civil Engineer,"Somerset West, Western Cape",Permanent Senior position,Assegai Recruitment (Pty) Ltd,"R66,700 - R83,300 per month",66700.0,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/senior-civil-engineer-job-2493903.aspx
90,Data Engineer at Headhunters,"Garden Route, Western Cape",Permanent Intermediate position,Headhunters (Head Office),R Undisclosed,,30 Nov 2022,30 Dec 2022,30,26,https://www.careerjunction.co.za/data-engineer-at-headhunters-job-2494744.aspx
91,QA Automation Engineer,"Woodstock, Western Cape",Permanent Senior position,MIT Recruitment,Undisclosed,,30 Nov 2022,26 Dec 2022,26,22,https://www.careerjunction.co.za/qa-automation-engineer-job-2493502.aspx
92,IOS Engineer,"Cape Town CBD, Western Cape",Permanent Intermediate position,MIT Recruitment,Undisclosed,,30 Nov 2022,08 Dec 2022,8,4,https://www.careerjunction.co.za/ios-engineer-job-2491288.aspx
93,Security Orchestration Automation and Response Engineer / (SOAR Engineer - Cyber Security),"Pretoria CBD, Gauteng",Permanent Specialist EE position,Professional Sourcing,Undisclosed,,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/security-orchestration-automation-and-response-engineer-soar-engineer-cyber-security-job-2463036.aspx
94,Simulink Software Engineer at Datafin Recruitment,"Durbanville, Western Cape",Permanent Executive position,Datafin,R Undisclosed,,03 Dec 2022,22 Dec 2022,19,18,https://www.careerjunction.co.za/simulink-software-engineer-at-datafin-recruitment-job-2493909.aspx
95,Senior Project Electrical Design Engineer (Ireland Data Centre),"Johannesburg North (Johannesburg North), Gauteng",Permanent Intermediate position,SciTech Placements (Pty) Ltd,R Undisclosed,,30 Nov 2022,08 Dec 2022,8,4,https://www.careerjunction.co.za/senior-project-electrical-design-engineer-ireland-data-centre-job-2493485.aspx
96,Senior System Engineer,"Cape Town, Western Cape",Permanent Senior position,Kamo Placements,R Undisclosed,,03 Dec 2022,07 Dec 2022,4,3,https://www.careerjunction.co.za/senior-system-engineer-job-2493926.aspx
97,Senior Software Engineer,"Cape Town CBD, Western Cape",Permanent Senior position,Phanda Personnel,R Undisclosed,,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/senior-software-engineer-job-2493971.aspx
98,IT Support Specialist / Network Engineer at Datafin Recruitment,"Bellville, Western Cape",Permanent Executive position,Datafin,R Undisclosed,,03 Dec 2022,22 Dec 2022,19,18,https://www.careerjunction.co.za/it-support-specialist-network-engineer-at-datafin-recruitment-job-2493907.aspx
99,Instrumentation Engineer,"Gqebera, Eastern Cape",Permanent Senior position,Bay Recruitment,Undisclosed,,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/instrumentation-engineer-job-2494684.aspx
100,Data Engineer,"George, Western Cape",Permanent Specialist position,Rensearch Placements,R Undisclosed,,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/data-engineer-job-2494699.aspx
101,Senior Electrical Design Engineer (Ireland: Data Centres),"Johannesburg North (Johannesburg North), Gauteng",Permanent Intermediate position,SciTech Placements (Pty) Ltd,R Undisclosed,,30 Nov 2022,09 Dec 2022,9,5,https://www.careerjunction.co.za/senior-electrical-design-engineer-ireland-data-centres-job-2493480.aspx
102,Data & DevOps Engineer,"Cape Town Region, Western Cape",Permanent Senior position,MIT Recruitment,Undisclosed,,30 Nov 2022,26 Dec 2022,26,22,https://www.careerjunction.co.za/data-%26-devops-engineer-job-2493504.aspx
103,Senior Data Engineer (SAS) - Johannesburg - Up to R1m Per Annum at e-Merge IT Recruitment,"Sandown, Gauteng",Permanent Senior position,e-Merge IT Recruitment,"R75,000 - R83,300 per month",75000.0,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/senior-data-engineer-sas-johannesburg-up-to-r1m-per-annum-at-e-merge-it-recruitment-job-2494672.aspx
104,Security Engineer (CPT Hybrid) at Datafin Recruitment,"Pinelands, Western Cape",Permanent Executive position,Datafin,R Undisclosed,,30 Nov 2022,28 Dec 2022,28,24,https://www.careerjunction.co.za/security-engineer-cpt-hybrid-at-datafin-recruitment-job-2494671.aspx
105,Engineer (Level 3) - Certified in Citrix Analytics,"Johannesburg, Gauteng",Permanent Intermediate position,Boardroom Appointments,R Undisclosed,,30 Nov 2022,29 Dec 2022,29,25,https://www.careerjunction.co.za/engineer-level-3-certified-in-citrix-analytics-job-2494693.aspx
106,Data Engineer at Headhunters,"Cape Town Region, Western Cape",Permanent Intermediate position,Headhunters (Head Office),R Undisclosed,,30 Nov 2022,30 Dec 2022,30,26,https://www.careerjunction.co.za/data-engineer-at-headhunters-job-2494636.aspx
107,Development Engineer at Headhunters,"Eastern Cape, South Africa",Permanent Intermediate position,Headhunters (Head Office),R Undisclosed,,30 Nov 2022,30 Dec 2022,30,26,https://www.careerjunction.co.za/development-engineer-at-headhunters-job-2494639.aspx
