,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
311,Senior MIS Analyst at SA Taxi Development Finance,"Johannesburg Region, Gauteng",Permanent Specialist position,SA Taxi Development Finance,Undisclosed,,29 Nov 2022,02 Jan 2023,34,29,https://www.careerjunction.co.za/senior-mis-analyst-at-sa-taxi-development-finance-job-2494535.aspx
312,Industrial Management Controller,"Midrand, Gauteng",Permanent Management position,Full Circle Selection,R Undisclosed,,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/industrial-management-controller-job-2494798.aspx
313,Financial Manager at Intdev Internet Technologies,"Midrand, Gauteng",Permanent Management position,Axiz,R Undisclosed,,03 Dec 2022,29 Dec 2022,26,25,https://www.careerjunction.co.za/financial-manager-at-intdev-internet-technologies-job-2494021.aspx
314,IT Consultant / Network Engineer at AJ Personnel,"Johannesburg Region, Gauteng",Permanent Intermediate position,AJ Personnel,R Undisclosed,,02 Dec 2022,23 Dec 2022,21,19,https://www.careerjunction.co.za/it-consultant-network-engineer-at-aj-personnel-job-2493811.aspx
315,Customer Strategy Analyst,"Rosebank, Gauteng",Permanent Intermediate position,Letsema Strategy Services,"R20,000 - R50,000 per month",20000.0,02 Dec 2022,27 Dec 2022,25,23,https://www.careerjunction.co.za/customer-strategy-analyst-job-2493703.aspx
316,FTTH Sales Specialist,"Goodwood (Goodwood Estate), Western Cape",Permanent Intermediate position,InspHired Recruitment Solutions,"R5,000 - R9,000 per month",5000.0,02 Dec 2022,18 Dec 2022,16,14,https://www.careerjunction.co.za/ftth-sales-specialist-job-2492530.aspx
317,BI Developer,"Centurion, Gauteng",Permanent Specialist EE position,RAD Resources SA,"R40,000 - R50,000 per month",40000.0,02 Dec 2022,18 Dec 2022,16,14,https://www.careerjunction.co.za/bi-developer-job-2492522.aspx
318,Systems Engineer,"Gauteng, South Africa
 / Work From Home",Permanent Intermediate position,iOCO Recruitment Solutions,R Undisclosed,,02 Dec 2022,05 Jan 2023,34,32,https://www.careerjunction.co.za/systems-engineer-job-2494954.aspx
319,Administrator,"Komatipoort, Mpumalanga",Permanent Intermediate position,Reata Services,R Undisclosed,,26 Nov 2022,04 Dec 2022,8,0,https://www.careerjunction.co.za/administrator-job-2490370.aspx
320,Pre-Sales Engineer (Snr.),"Midrand, Gauteng",Permanent Senior position,Dynexity,"R60,000 - R70,000 per month",60000.0,25 Nov 2022,06 Dec 2022,11,2,https://www.careerjunction.co.za/pre-sales-engineer-snr-job-2491621.aspx
321,Operations / General Manager - ERP Software,"Fourways, Gauteng",Permanent Management position,ProApp HR Solutions,"R60,000 - R80,000 per month",60000.0,30 Nov 2022,26 Dec 2022,26,22,https://www.careerjunction.co.za/operations-general-manager-erp-software-job-2493494.aspx
322,IOS Engineer,"Cape Town CBD, Western Cape",Permanent Intermediate position,MIT Recruitment,Undisclosed,,30 Nov 2022,08 Dec 2022,8,4,https://www.careerjunction.co.za/ios-engineer-job-2491288.aspx
323,Analyst (Replenishment),"Johannesburg Region, Gauteng",Permanent Intermediate position,Lesley Snyman and associates,"R54,200 - R66,700 per month",54200.0,29 Nov 2022,02 Jan 2023,34,29,https://www.careerjunction.co.za/analyst-replenishment-job-2487648.aspx
324,Financial Planner Reporting,"Johannesburg, Gauteng",Permanent Intermediate position,Boardroom Appointments,R Undisclosed,,30 Nov 2022,29 Dec 2022,29,25,https://www.careerjunction.co.za/financial-planner-reporting-job-2494770.aspx
